time;V(/VoutN)1;V(/VoutP)1;V(/BiasOut)1;a
0,0027228;-0,633585;0,604626;0,038529;
0,0027328;-0,632181;0,603283;0,0384502;
0,0027428;-0,630747;0,60191;0,0383693;
0,0027528;-0,629284;0,600509;0,0382866;
0,0027628;-0,627791;0,599078;0,0382018;
0,0027728;-0,626268;0,597618;0,0381151;
0,0027828;-0,624716;0,596129;0,0380264;
0,0027928;-0,623135;0,594611;0,0379358;
0,0028028;-0,621525;0,593064;0,0378432;
0,0028128;-0,619885;0,591488;0,0377486;
0,0028228;-0,618216;0,589883;0,0376521;
0,0028328;-0,616519;0,58825;0,0375537;
0,0028428;-0,614792;0,586588;0,0374534;
0,0028528;-0,613036;0,584898;0,0373511;
0,0028628;-0,611252;0,583179;0,0372468;
0,0028728;-0,609439;0,581431;0,0371407;
0,0028828;-0,607597;0,579656;0,0370327;
0,0028928;-0,605727;0,577852;0,0369227;
0,0029028;-0,603829;0,57602;0,0368108;
0,0029128;-0,601902;0,57416;0,036697;
0,0029228;-0,599947;0,572273;0,0365814;
0,0029328;-0,597964;0,570357;0,0364638;
0,0029428;-0,595952;0,568413;0,0363444;
0,0029528;-0,593913;0,566442;0,036223;
0,0029628;-0,591846;0,564444;0,0360998;
0,0029728;-0,589751;0,562418;0,0359748;
0,0029828;-0,587628;0,560364;0,0358478;
0,0029928;-0,585478;0,558283;0,035719;
0,0030028;-0,583301;0,556175;0,0355884;
0,0030128;-0,581096;0,55404;0,0354559;
0,0030228;-0,578864;0,551878;0,0353216;
0,0030328;-0,576604;0,549689;0,0351854;
0,0030428;-0,574318;0,547474;0,0350474;
0,0030528;-0,572005;0,545231;0,0349076;
0,0030628;-0,569665;0,542962;0,034766;
0,0030728;-0,567298;0,540667;0,0346225;
0,0030828;-0,564905;0,538345;0,0344773;
0,0030928;-0,562485;0,535998;0,0343303;
0,0031028;-0,560039;0,533624;0,0341815;
0,0031128;-0,557566;0,531224;0,0340309;
0,0031228;-0,555068;0,528798;0,0338785;
0,0031328;-0,552543;0,526346;0,0337243;
0,0031428;-0,549993;0,523869;0,0335685;
0,0031528;-0,547417;0,521366;0,0334108;
0,0031628;-0,544815;0,518837;0,0332514;
0,0031728;-0,542187;0,516284;0,0330903;
0,0031828;-0,539535;0,513705;0,0329274;
0,0031928;-0,536857;0,511101;0,0327628;
0,0032028;-0,534154;0,508473;0,0325965;
0,0032128;-0,531425;0,505819;0,0324285;
0,0032228;-0,528672;0,503141;0,0322588;
0,0032328;-0,525895;0,500438;0,0320874;
0,0032428;-0,523092;0,497711;0,0319143;
0,0032528;-0,520266;0,494959;0,0317396;
0,0032628;-0,517414;0,492184;0,0315632;
0,0032728;-0,514539;0,489384;0,0313851;
0,0032828;-0,51164;0,486561;0,0312053;
0,0032928;-0,508716;0,483713;0,031024;
0,0033028;-0,505769;0,480843;0,0308409;
0,0033128;-0,502798;0,477948;0,0306563;
0,0033228;-0,499804;0,47503;0,0304701;
0,0033328;-0,496786;0,47209;0,0302822;
0,0033428;-0,493745;0,469126;0,0300927;
0,0033528;-0,490681;0,466139;0,0299017;
0,0033628;-0,487594;0,463129;0,0297091;
0,0033728;-0,484485;0,460097;0,0295148;
0,0033828;-0,481352;0,457042;0,0293191;
0,0033928;-0,478198;0,453965;0,0291218;
