time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1
0,035703;-0,0218573;0,278469;-0,29849
0,035803;-0,0188271;0,237587;-0,257609
0,035903;-0,0157168;0,195522;-0,215546
0,036003;-0,0125417;0,152476;-0,172501
0,036103;-0,00931716;0,108655;-0,12868
0,036203;-0,00605904;0,0642665;-0,0842919
0,036303;-0,00278316;0,0195236;-0,0395495
0,036403;0,000494344;-0,0253602;0,00533409
0,036503;0,00375747;-0,0701707;0,0501443
0,036603;0,00699009;-0,114694;0,0946675
0,036703;0,0101763;-0,158717;0,138691
0,036803;0,0133004;-0,20203;0,182004
0,036903;0,0163469;-0,244426;0,224401
0,037003;0,0193007;-0,285703;0,265678
0,037103;0,0221469;-0,325663;0,305639
0,037203;0,0248715;-0,364116;0,344093
0,037303;0,0274608;-0,400878;0,380856
0,037403;0,0299016;-0,435774;0,415752
0,037503;0,0321816;-0,468637;0,448616
0,037603;0,0342892;-0,499309;0,47929
0,037703;0,0362136;-0,527645;0,507627
0,037803;0,0379447;-0,55351;0,533493
0,037903;0,0394735;-0,576779;0,556764
0,038003;0,0407919;-0,597342;0,577328
0,038103;0,0418927;-0,6151;0,595088
0,038203;0,0427698;-0,629969;0,609958
0,038303;0,0434181;-0,641877;0,621869
0,038403;0,0438336;-0,650768;0,630762
0,038503;0,0440133;-0,6566;0,636595
0,038603;0,0439556;-0,659344;0,639341
0,038703;0,0436597;-0,658988;0,638987
0,038803;0,043126;-0,655532;0,635533
0,038903;0,0423561;-0,648995;0,628997
0,039003;0,0413527;-0,639406;0,61941
0,039103;0,0401195;-0,626811;0,606818
0,039203;0,0386615;-0,611271;0,59128
0,039303;0,0369845;-0,592861;0,572871
0,039403;0,0350956;-0,571667;0,551679
0,039503;0,0330026;-0,547791;0,527805
0,039603;0,0307146;-0,521347;0,501363
0,039703;0,0282413;-0,492462;0,472479
0,039803;0,0255937;-0,461272;0,441291
0,039903;0,0227831;-0,427928;0,407949
0,040003;0,019822;-0,392588;0,372611
0,040103;0,0167235;-0,355422;0,335445
0,040203;0,0135012;-0,316606;0,296631
0,040303;0,0101695;-0,276326;0,256352
0,040403;0,0067432;-0,234774;0,214801
0,040503;0,00323762;-0,192149;0,172177
0,040603;-0,000331532;-0,148654;0,128683
0,040703;-0,00394834;-0,104498;0,0845269
0,040803;-0,0075965;-0,0598895;0,0399194
0,040903;-0,0112597;-0,0150432;-0,00492652
0,041003;-0,0149215;0,0298272;-0,0497966
0,041103;-0,0185654;0,0745074;-0,0944767
0,041203;-0,0221749;0,118784;-0,138753
0,041303;-0,025734;0,162446;-0,182415
0,041403;-0,0292266;0,205284;-0,225254
0,041503;-0,0326369;0,247095;-0,267065
0,041603;-0,0359497;0,287678;-0,307648
0,041703;-0,0391501;0,326839;-0,34681
0,041803;-0,0422238;0,364392;-0,384364
0,041903;-0,0451569;0,400157;-0,42013
0,042003;-0,0479364;0,433964;-0,453938
0,042103;-0,0505499;0,465651;-0,485626
0,042203;-0,0529857;0,495066;-0,515042
0,042303;-0,0552332;0,52207;-0,542048
0,042403;-0,0572822;0,546534;-0,566512
0,042503;-0,059124;0,56834;-0,58832
