time;V(/VoutN)1;V(/VoutP)1;V(/BiasDrive)1;a
0,00335376;-0,488089;0,468151;0,0322634;
0,00336376;-0,485038;0,4651;0,0320305;
0,00337376;-0,481965;0,462027;0,031796;
0,00338376;-0,47887;0,458931;0,0315598;
0,00339376;-0,475752;0,455813;0,031322;
0,00340376;-0,472611;0,452673;0,0310825;
0,00341376;-0,469449;0,44951;0,0308415;
0,00342376;-0,466265;0,446326;0,0305989;
0,00343376;-0,463059;0,443119;0,0303547;
0,00344376;-0,459831;0,439891;0,0301089;
0,00345376;-0,456582;0,436642;0,0298616;
0,00346376;-0,453311;0,433371;0,0296127;
0,00347376;-0,450019;0,430079;0,0293623;
0,00348376;-0,446707;0,426766;0,0291103;
0,00349376;-0,443373;0,423432;0,0288569;
0,00350376;-0,440019;0,420078;0,0286019;
0,00351376;-0,436644;0,416703;0,0283455;
0,00352376;-0,433248;0,413307;0,0280876;
0,00353376;-0,429833;0,409892;0,0278282;
0,00354376;-0,426398;0,406456;0,0275674;
0,00355376;-0,422942;0,403;0,0273051;
0,00356376;-0,419467;0,399525;0,0270414;
0,00357376;-0,415972;0,39603;0,0267763;
0,00358376;-0,412458;0,392516;0,0265098;
0,00359376;-0,408925;0,388982;0,0262419;
0,00360376;-0,405372;0,38543;0,0259727;
0,00361376;-0,401801;0,381858;0,025702;
0,00362376;-0,398211;0,378268;0,0254301;
0,00363376;-0,394603;0,374659;0,0251567;
0,00364376;-0,390976;0,371032;0,0248821;
0,00365376;-0,387331;0,367387;0,0246061;
0,00366376;-0,383668;0,363723;0,0243289;
0,00367376;-0,379987;0,360042;0,0240503;
0,00368376;-0,376288;0,356343;0,0237705;
0,00369376;-0,372572;0,352627;0,0234894;
0,00370376;-0,368838;0,348893;0,0232071;
0,00371376;-0,365088;0,345142;0,0229236;
0,00372376;-0,36132;0,341374;0,0226388;
0,00373376;-0,357536;0,33759;0,0223528;
0,00374376;-0,353735;0,333789;0,0220656;
0,00375376;-0,349918;0,329971;0,0217773;
0,00376376;-0,346084;0,326137;0,0214878;
0,00377376;-0,342234;0,322287;0,0211971;
0,00378376;-0,338369;0,318421;0,0209053;
0,00379376;-0,334487;0,31454;0,0206123;
0,00380376;-0,330591;0,310643;0,0203183;
0,00381376;-0,326679;0,306731;0,0200232;
0,00382376;-0,322752;0,302803;0,0197269;
0,00383376;-0,318809;0,298861;0,0194296;
0,00384376;-0,314853;0,294904;0,0191313;
0,00385376;-0,310881;0,290932;0,0188319;
0,00386376;-0,306895;0,286946;0,0185315;
0,00387376;-0,302895;0,282946;0,0182301;
0,00388376;-0,298881;0,278932;0,0179276;
0,00389376;-0,294854;0,274904;0,0176242;
0,00390376;-0,290812;0,270862;0,0173199;
0,00391376;-0,286757;0,266807;0,0170145;
0,00392376;-0,282689;0,262739;0,0167083;
0,00393376;-0,278608;0,258657;0,0164011;
0,00394376;-0,274514;0,254563;0,0160929;
0,00395376;-0,270408;0,250456;0,0157839;
0,00396376;-0,266289;0,246337;0,015474;
0,00397376;-0,262158;0,242206;0,0151633;
0,00398376;-0,258015;0,238062;0,0148517;
0,00399376;-0,253859;0,233907;0,0145392;
