time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1;
0,0418033;-0,294413;0,364515;-0,384433;
0,0419033;-0,300902;0,400275;-0,420194;
0,0420033;-0,307193;0,434077;-0,453997;
0,0421033;-0,313276;0,465758;-0,485679;
0,0422033;-0,319137;0,495168;-0,51509;
0,0423033;-0,324766;0,522165;-0,542089;
0,0424033;-0,330152;0,546621;-0,566546;
0,0425033;-0,335286;0,56842;-0,588347;
0,0426033;-0,340158;0,587457;-0,607385;
0,0427033;-0,344759;0,603641;-0,623571;
0,0428033;-0,349083;0,616896;-0,636827;
0,0429033;-0,353123;0,627156;-0,64709;
0,0430033;-0,356873;0,634375;-0,654311;
0,0431033;-0,360328;0,638517;-0,658455;
0,0432033;-0,363484;0,639562;-0,659502;
0,0433033;-0,366338;0,637506;-0,657448;
0,0434033;-0,368887;0,632358;-0,652302;
0,0435033;-0,371129;0,624143;-0,644089;
0,0436033;-0,373066;0,6129;-0,632849;
0,0437033;-0,374695;0,598683;-0,618634;
0,0438033;-0,37602;0,581559;-0,601512;
0,0439033;-0,377041;0,561611;-0,581567;
0,0440033;-0,377762;0,538934;-0,558891;
0,0441033;-0,378185;0,513635;-0,533595;
0,0442033;-0,378316;0,485837;-0,505799;
0,0443033;-0,37816;0,45567;-0,475635;
0,0444033;-0,377722;0,42328;-0,443247;
0,0445033;-0,377009;0,388822;-0,408791;
0,0446033;-0,376028;0,352459;-0,37243;
0,0447033;-0,374787;0,314366;-0,334339;
0,0448033;-0,373294;0,274723;-0,294699;
0,0449033;-0,371558;0,233722;-0,253699;
0,0450033;-0,369589;0,191556;-0,211536;
0,0451033;-0,367397;0,148428;-0,16841;
0,0452033;-0,364991;0,104544;-0,124528;
0,0453033;-0,362383;0,0601131;-0,0800984;
0,0454033;-0,359582;0,0153474;-0,0353344;
0,0455033;-0,356601;-0,0295394;0,00955063;
0,0456033;-0,353451;-0,0743327;0,0543424;
0,0457033;-0,350142;-0,118819;0,098827;
0,0458033;-0,346687;-0,162785;0,142792;
0,0459033;-0,343098;-0,206022;0,186027;
0,0460033;-0,339385;-0,248323;0,228327;
0,0461033;-0,33556;-0,289486;0,269488;
0,0462033;-0,331636;-0,329314;0,309316;
0,0463033;-0,327622;-0,367617;0,347618;
0,0464033;-0,32353;-0,404213;0,384213;
0,0465033;-0,319371;-0,438926;0,418925;
0,0466033;-0,315156;-0,471592;0,451589;
0,0467033;-0,310894;-0,502053;0,48205;
0,0468033;-0,306596;-0,530164;0,510161;
0,0469033;-0,30227;-0,555792;0,535788;
0,0470033;-0,297927;-0,578813;0,558809;
0,0471033;-0,293573;-0,599119;0,579114;
0,0472033;-0,289218;-0,616611;0,596606;
0,0473033;-0,284869;-0,631207;0,611201;
0,0474033;-0,280533;-0,642837;0,62283;
0,0475033;-0,276216;-0,651444;0,631438;
0,0476033;-0,271924;-0,656989;0,636982;
