time;V(/VoutN)1;V(/VoutP)1;
0,0249794;0,83946;-0,45948;
0,0250794;0,838707;-0,458731;
0,0251794;0,834849;-0,454894;
0,0252794;0,827901;-0,447986;
0,0253794;0,817896;-0,438044;
0,0254794;0,804878;-0,425118;
0,0255794;0,788906;-0,409273;
0,0256794;0,77005;-0,39059;
0,0257794;0,748394;-0,369164;
0,0258794;0,724036;-0,345105;
0,0259794;0,697085;-0,318535;
0,0260794;0,667659;-0,289588;
0,0261794;0,635891;-0,258414;
0,0262794;0,601921;-0,22517;
0,0263794;0,565901;-0,190028;
0,0264794;0,527991;-0,153166;
0,0265794;0,488358;-0,114775;
0,0266794;0,447179;-0,0750496;
0,0267794;0,404634;-0,0341958;
0,0268794;0,360913;0,00757642;
0,0269794;0,316208;0,0500514;
0,0270794;0,270714;0,0930095;
0,0271794;0,224632;0,136228;
0,0272794;0,178164;0,179481;
0,0273794;0,131511;0,222545;
0,0274794;0,0848777;0,265192;
0,0275794;0,038465;0,3072;
0,0276794;-0,00752625;0,348346;
0,0277794;-0,0528984;0,388411;
0,0278794;-0,0974573;0,427183;
0,0279794;-0,141013;0,464452;
0,0280794;-0,183382;0,500018;
0,0281794;-0,224385;0,533685;
0,0282794;-0,263852;0,56527;
0,0283794;-0,30162;0,594594;
0,0284794;-0,337533;0,621494;
0,0285794;-0,371447;0,645814;
0,0286794;-0,403226;0,667411;
0,0287794;-0,432745;0,686155;
0,0288794;-0,459892;0,701929;
0,0289794;-0,484563;0,714631;
0,0290794;-0,50667;0,724171;
0,0291794;-0,526136;0,730476;
0,0292794;-0,542895;0,733486;
0,0293794;-0,556897;0,73316;
0,0294794;-0,568104;0,729468;
0,0295794;-0,576491;0,722399;
0,0296794;-0,582049;0,711958;
0,0297794;-0,58478;0,698165;
0,0298794;-0,5847;0,681057;
0,0299794;-0,581841;0,660684;
0,0300794;-0,576244;0,637116;
0,0301794;-0,567968;0,610433;
0,0302794;-0,55708;0,580736;
0,0303794;-0,543663;0,548134;
0,0304794;-0,52781;0,512755;
0,0305617;-0,513002;0,481637;
0,0306512;-0,495199;0,445902;
0,0307364;-0,476658;0,410096;
0,0308224;-0,456457;0,372309;
0,0309005;-0,436908;0,336685;
0,0309852;-0,414477;0,296712;
0,0310852;-0,38649;0,247919;
0,0311852;-0,357022;0,197579;
0,0312852;-0,326241;0,145902;
0,0313852;-0,294322;0,0931099;
0,0314852;-0,261444;0,0394259;
0,0315852;-0,227792;-0,0149199;
0,0316852;-0,193552;-0,0696946;
0,0317852;-0,158913;-0,124662;
0,0318852;-0,124067;-0,179586;
0,0319852;-0,0892053;-0,234229;
0,0320852;-0,054518;-0,288354;
0,0321852;-0,0201951;-0,341726;
0,0322852;0,0135765;-0,394115;
0,0323852;0,0466126;-0,445292;
0,0324852;0,0787334;-0,495036;
0,0325852;0,109764;-0,54313;
0,0326852;0,139536;-0,589366;
0,0327852;0,167886;-0,633543;
0,0328852;0,19466;-0,675469;
0,0329852;0,219711;-0,714962;
0,0330852;0,242902;-0,751853;
0,0331852;0,264105;-0,785983;
0,0332852;0,283202;-0,817204;
0,0333852;0,300086;-0,845384;
0,0334852;0,314662;-0,870402;
0,0335852;0,326845;-0,892154;
0,0336852;0,336566;-0,910548;
0,0337852;0,343764;-0,92551;
0,0338852;0,348394;-0,936978;
0,0339852;0,350423;-0,94491;
0,0340852;0,349832;-0,949277;
0,0341852;0,346615;-0,950067;
0,0342852;0,340779;-0,947285;
0,0343852;0,332345;-0,94095;
0,0344852;0,321347;-0,931099;
0,0345852;0,307832;-0,917784;
0,0346852;0,29186;-0,901074;
0,0347852;0,273505;-0,881051;
0,0348852;0,252851;-0,857813;
0,0349852;0,229996;-0,831474;
0,0350852;0,205047;-0,802159;
0,0351852;0,178126;-0,770009;
0,0352852;0,14936;-0,735174;
0,0353852;0,118891;-0,69782;
0,0354852;0,0868654;-0,658122;
0,0355852;0,0534418;-0,616265;
0,0356852;0,0187842;-0,572444;
0,0357852;-0,016936;-0,526863;
0,0358852;-0,0535415;-0,479732;
0,0359852;-0,0908496;-0,431269;
0,0360852;-0,128674;-0,381696;
0,0361852;-0,166824;-0,331241;
0,0362852;-0,205107;-0,280134;
0,0363852;-0,243329;-0,228608;
0,0364852;-0,281296;-0,176897;
0,0365852;-0,318814;-0,125235;
0,0366852;-0,355689;-0,0738542;
0,0367852;-0,391731;-0,0229862;
0,0368852;-0,426751;0,0271418;
0,0369852;-0,460568;0,0763066;
0,0370852;-0,493002;0,124291;
0,0371852;-0,523881;0,170882;
0,0372852;-0,553038;0,215878;
0,0373852;-0,580316;0,259081;
0,0374852;-0,605564;0,300307;
0,0375852;-0,62864;0,339378;
0,0376852;-0,649415;0,376129;
0,0377852;-0,667766;0,410406;
0,0378852;-0,683583;0,442069;
0,0379852;-0,696767;0,47099;
0,0380852;-0,707233;0,497053;
0,0381852;-0,714905;0,52016;
0,0382852;-0,719723;0,540223;
0,0383852;-0,721638;0,557174;
0,0384852;-0,720615;0,570956;
0,0385852;-0,716632;0,58153;
0,0386852;-0,709683;0,588872;
0,0387852;-0,699773;0,592974;
0,0388852;-0,686922;0,593844;
0,0389852;-0,671164;0,591506;
0,0390852;-0,652546;0,585999;
0,0391852;-0,631128;0,577377;
0,0392852;-0,606984;0,565711;
0,0393852;-0,580201;0,551085;
0,0394852;-0,550876;0,533598;
