time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,101963;2,50619;2,49554;2,49691;
0,101973;2,50619;2,49554;2,49691;
0,101983;2,50619;2,49554;2,49691;
0,101993;2,50619;2,49554;2,49691;
0,102003;2,50619;2,49554;2,49691;
0,102013;2,50619;2,49554;2,49691;
0,102023;2,50619;2,49554;2,49691;
0,102033;2,50619;2,49554;2,49691;
0,102043;2,50619;2,49554;2,49691;
0,102053;2,50619;2,49554;2,49691;
0,102063;2,50619;2,49554;2,49691;
0,102073;2,50619;2,49554;2,49691;
0,102083;2,50619;2,49554;2,49691;
0,102093;2,50619;2,49554;2,49691;
0,102103;2,50619;2,49554;2,49691;
0,102113;2,50619;2,49554;2,49691;
0,102123;2,50619;2,49554;2,49691;
0,102133;2,50619;2,49554;2,49691;
0,102143;2,50619;2,49554;2,49691;
0,102153;2,50619;2,49554;2,49691;
0,102163;2,50619;2,49554;2,49691;
0,102173;2,50619;2,49554;2,49691;
0,102183;2,50619;2,49554;2,49691;
0,102193;2,50619;2,49554;2,49691;
0,102203;2,50619;2,49554;2,49691;
0,102213;2,50619;2,49554;2,49691;
0,102223;2,50619;2,49554;2,49691;
0,102233;2,50619;2,49554;2,49691;
0,102243;2,50619;2,49554;2,49692;
0,102253;2,50619;2,49554;2,49692;
0,102263;2,50619;2,49554;2,49692;
0,102273;2,50619;2,49554;2,49692;
0,102283;2,50619;2,49554;2,49692;
0,102293;2,50619;2,49554;2,49692;
0,102303;2,50619;2,49553;2,49692;
0,102313;2,50619;2,49553;2,49692;
0,102323;2,50619;2,49553;2,49692;
0,102333;2,50619;2,49553;2,49692;
0,102343;2,50619;2,49553;2,49692;
0,102353;2,50619;2,49553;2,49692;
0,102363;2,50619;2,49553;2,49692;
0,102373;2,50619;2,49553;2,49692;
0,102383;2,50619;2,49553;2,49692;
0,102393;2,50619;2,49553;2,49692;
0,102403;2,50619;2,49553;2,49692;
0,102413;2,50619;2,49553;2,49692;
0,102423;2,50619;2,49553;2,49692;
0,102433;2,50619;2,49553;2,49692;
0,102443;2,50619;2,49553;2,49692;
0,102453;2,50619;2,49553;2,49692;
0,102463;2,50619;2,49553;2,49692;
0,102473;2,50619;2,49553;2,49692;
0,102483;2,50619;2,49553;2,49692;
0,102493;2,50619;2,49553;2,49692;
0,102503;2,50619;2,49553;2,49692;
0,102513;2,50619;2,49553;2,49692;
0,102523;2,50619;2,49553;2,49692;
0,102533;2,50619;2,49553;2,49692;
0,102543;2,50619;2,49553;2,49692;
0,102553;2,50619;2,49553;2,49692;
0,102563;2,50619;2,49553;2,49692;
0,102573;2,50619;2,49553;2,49692;
0,102583;2,50619;2,49553;2,49692;
0,102593;2,50619;2,49553;2,49692;
0,102603;2,50619;2,49553;2,49692;
0,102613;2,50619;2,49553;2,49692;
0,102623;2,50619;2,49553;2,49692;
0,102633;2,50619;2,49553;2,49692;
0,102643;2,50619;2,49553;2,49693;
0,102653;2,50619;2,49553;2,49693;
0,102663;2,50619;2,49553;2,49693;
0,102673;2,50619;2,49553;2,49693;
0,102683;2,50619;2,49553;2,49693;
0,102693;2,50619;2,49553;2,49693;
0,102703;2,50619;2,49553;2,49693;
0,102713;2,50619;2,49553;2,49693;
0,102723;2,50619;2,49553;2,49693;
0,102733;2,50619;2,49553;2,49693;
0,102743;2,50619;2,49553;2,49693;
0,102753;2,50619;2,49553;2,49693;
0,102763;2,50619;2,49553;2,49693;
0,102773;2,50619;2,49553;2,49693;
0,102783;2,50619;2,49553;2,49693;
0,102793;2,50619;2,49553;2,49693;
0,102803;2,50619;2,49553;2,49693;
0,102813;2,50619;2,49553;2,49693;
0,102823;2,50619;2,49553;2,49693;
0,102833;2,50619;2,49553;2,49693;
0,102843;2,50619;2,49553;2,49693;
0,102853;2,50619;2,49553;2,49693;
0,102863;2,50619;2,49553;2,49693;
0,102873;2,50619;2,49553;2,49693;
0,102883;2,50619;2,49553;2,49693;
0,102893;2,50619;2,49553;2,49693;
0,102903;2,50619;2,49553;2,49693;
0,102913;2,50619;2,49553;2,49693;
0,102923;2,50619;2,49553;2,49693;
0,102933;2,50619;2,49553;2,49693;
0,102943;2,50619;2,49553;2,49693;
0,102953;2,50619;2,49553;2,49693;
0,102963;2,50619;2,49553;2,49693;
0,102973;2,50619;2,49553;2,49693;
0,102983;2,50619;2,49553;2,49693;
0,102993;2,50619;2,49553;2,49693;
0,103003;2,50619;2,49553;2,49693;
0,103013;2,50619;2,49553;2,49693;
0,103023;2,50619;2,49553;2,49693;
0,103033;2,50619;2,49553;2,49693;
0,103043;2,50619;2,49553;2,49693;
0,103053;2,50619;2,49553;2,49693;
0,103063;2,50619;2,49553;2,49693;
0,103073;2,50619;2,49553;2,49693;
0,103083;2,50619;2,49553;2,49693;
0,103093;2,50619;2,49553;2,49693;
0,103103;2,50619;2,49553;2,49693;
0,103113;2,50619;2,49553;2,49693;
0,103123;2,50619;2,49553;2,49693;
0,103133;2,50619;2,49553;2,49693;
0,103143;2,50619;2,49553;2,49693;
0,103153;2,50619;2,49553;2,49693;
0,103163;2,50619;2,49553;2,49693;
0,103173;2,50619;2,49553;2,49693;
0,103183;2,50619;2,49553;2,49693;
0,103193;2,50619;2,49553;2,49693;
0,103203;2,50619;2,49553;2,49693;
0,103213;2,50619;2,49553;2,49693;
0,103223;2,50619;2,49553;2,49693;
0,103233;2,50619;2,49553;2,49693;
0,103243;2,50619;2,49553;2,49693;
0,103253;2,50619;2,49553;2,49693;
0,103263;2,50619;2,49553;2,49693;
0,103273;2,50619;2,49553;2,49693;
0,103283;2,50619;2,49553;2,49693;
0,103293;2,50619;2,49553;2,49693;
0,103303;2,50619;2,49553;2,49693;
0,103313;2,50619;2,49553;2,49693;
