time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,102672;2,50654;2,49582;2,49722;
0,102682;2,50645;2,49565;2,49704;
0,102692;2,50617;2,49546;2,49685;
0,102702;2,50639;2,49556;2,49696;
0,102712;2,50638;2,49566;2,49706;
0,102722;2,5063;2,49549;2,49689;
0,102732;2,50608;2,49536;2,49676;
0,102742;2,50642;2,49558;2,49698;
0,102752;2,50651;2,49579;2,49719;
0,102762;2,50642;2,49562;2,49702;
0,102772;2,50615;2,49543;2,49683;
0,102782;2,50641;2,49557;2,49697;
0,102792;2,50642;2,4957;2,4971;
0,102802;2,50633;2,49552;2,49692;
0,102812;2,50609;2,49537;2,49676;
0,102822;2,50644;2,4956;2,497;
0,102832;2,50654;2,49582;2,49722;
0,102842;2,50645;2,49565;2,49705;
0,102852;2,50617;2,49545;2,49685;
0,102862;2,50639;2,49556;2,49696;
0,102872;2,50637;2,49566;2,49706;
0,102882;2,5063;2,49549;2,49689;
0,102892;2,50608;2,49536;2,49676;
0,102902;2,50642;2,49558;2,49698;
0,102912;2,50651;2,49579;2,49719;
0,102922;2,50642;2,49561;2,49701;
0,102932;2,50615;2,49543;2,49683;
0,102942;2,50641;2,49557;2,49697;
0,102952;2,50643;2,49571;2,49711;
0,102962;2,50633;2,49552;2,49692;
0,102972;2,50609;2,49537;2,49677;
0,102982;2,50644;2,4956;2,497;
0,102992;2,50654;2,49582;2,49722;
0,103002;2,50645;2,49564;2,49705;
0,103012;2,50617;2,49545;2,49685;
0,103022;2,50639;2,49556;2,49696;
0,103032;2,50638;2,49566;2,49706;
0,103042;2,5063;2,49549;2,49689;
0,103052;2,50608;2,49536;2,49676;
0,103062;2,50642;2,49558;2,49698;
0,103072;2,50651;2,49579;2,49719;
0,103082;2,50642;2,49561;2,49702;
0,103092;2,50615;2,49543;2,49683;
0,103102;2,50641;2,49557;2,49697;
0,103112;2,50642;2,4957;2,4971;
0,103122;2,50633;2,49552;2,49692;
0,103132;2,50609;2,49536;2,49677;
0,103142;2,50644;2,4956;2,497;
0,103152;2,50654;2,49582;2,49722;
0,103162;2,50645;2,49564;2,49705;
0,103172;2,50617;2,49545;2,49686;
0,103182;2,50639;2,49556;2,49696;
0,103192;2,50637;2,49565;2,49706;
0,103202;2,5063;2,49549;2,49689;
0,103212;2,50608;2,49536;2,49676;
0,103222;2,50642;2,49558;2,49698;
0,103232;2,50651;2,49579;2,49719;
0,103242;2,50642;2,49561;2,49702;
0,103252;2,50615;2,49543;2,49683;
0,103262;2,50641;2,49557;2,49697;
0,103272;2,50642;2,4957;2,49711;
0,103282;2,50633;2,49552;2,49692;
0,103292;2,50609;2,49536;2,49677;
0,103302;2,50644;2,4956;2,497;
0,103312;2,50654;2,49582;2,49722;
0,103322;2,50645;2,49564;2,49705;
0,103332;2,50617;2,49545;2,49685;
0,103342;2,50639;2,49556;2,49696;
0,103352;2,50638;2,49566;2,49706;
0,103362;2,5063;2,49549;2,49689;
0,103372;2,50608;2,49536;2,49676;
0,103382;2,50642;2,49558;2,49698;
0,103392;2,50651;2,49579;2,49719;
0,103402;2,50642;2,49562;2,49702;
0,103412;2,50615;2,49543;2,49683;
0,103422;2,50641;2,49557;2,49697;
0,103432;2,50642;2,4957;2,4971;
0,103442;2,50633;2,49552;2,49692;
0,103452;2,50609;2,49536;2,49677;
0,103462;2,50644;2,4956;2,497;
0,103472;2,50654;2,49582;2,49722;
0,103482;2,50645;2,49564;2,49705;
0,103492;2,50617;2,49545;2,49685;
0,103502;2,50639;2,49556;2,49696;
0,103512;2,50638;2,49566;2,49706;
0,103522;2,5063;2,49549;2,49689;
0,103532;2,50608;2,49536;2,49676;
0,103542;2,50642;2,49558;2,49698;
0,103552;2,50651;2,49579;2,49719;
0,103562;2,50642;2,49562;2,49701;
0,103572;2,50615;2,49543;2,49683;
0,103582;2,50641;2,49557;2,49697;
0,103592;2,50642;2,49571;2,4971;
0,103602;2,50633;2,49552;2,49692;
0,103612;2,50609;2,49537;2,49676;
0,103622;2,50644;2,4956;2,497;
0,103632;2,50654;2,49582;2,49722;
0,103642;2,50645;2,49565;2,49704;
0,103652;2,50617;2,49545;2,49685;
0,103662;2,50639;2,49556;2,49696;
0,103672;2,50638;2,49566;2,49706;
0,103682;2,5063;2,49549;2,49689;
0,103692;2,50608;2,49536;2,49676;
0,103702;2,50642;2,49558;2,49698;
0,103712;2,50651;2,49579;2,49719;
0,103722;2,50642;2,49562;2,49701;
0,103732;2,50615;2,49543;2,49683;
0,103742;2,50641;2,49557;2,49697;
0,103752;2,50642;2,49571;2,4971;
0,103762;2,50633;2,49552;2,49692;
0,103772;2,50609;2,49537;2,49676;
0,103782;2,50644;2,4956;2,49699;
0,103792;2,50654;2,49582;2,49722;
0,103802;2,50645;2,49565;2,49704;
0,103812;2,50617;2,49546;2,49685;
0,103822;2,50639;2,49556;2,49695;
0,103832;2,50638;2,49566;2,49705;
0,103842;2,5063;2,4955;2,49689;
0,103852;2,50608;2,49537;2,49676;
0,103862;2,50642;2,49559;2,49698;
0,103872;2,50651;2,49579;2,49718;
