time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,104174;2,50632;2,50792;2,50792;
0,104184;2,50626;2,50792;2,50792;
0,104194;2,50627;2,50792;2,50792;
0,104204;2,50615;2,50792;2,50792;
0,104214;2,5064;2,50792;2,50792;
0,104224;2,50643;2,50792;2,50792;
0,104234;2,50632;2,50792;2,50792;
0,104244;2,50612;2,50792;2,50792;
0,104254;2,50627;2,50792;2,50792;
0,104264;2,50624;2,50792;2,50792;
0,104274;2,50627;2,50792;2,50792;
0,104284;2,50616;2,50791;2,50791;
0,104294;2,50637;2,50791;2,50791;
0,104304;2,50636;2,50791;2,50791;
0,104314;2,50627;2,50791;2,50791;
0,104324;2,50611;2,50791;2,50791;
0,104334;2,50631;2,50791;2,50791;
0,104344;2,5063;2,50791;2,50791;
0,104354;2,50626;2,50791;2,50791;
0,104364;2,50613;2,50791;2,50791;
0,104374;2,50647;2,50791;2,50791;
0,104384;2,50656;2,50791;2,50791;
0,104394;2,50646;2,50791;2,50791;
0,104404;2,50619;2,50791;2,50791;
0,104414;2,50627;2,50791;2,50791;
0,104424;2,50619;2,50791;2,50791;
0,104434;2,50632;2,50791;2,50791;
0,104444;2,50626;2,50791;2,50791;
0,104454;2,50627;2,50791;2,50791;
0,104464;2,50615;2,50791;2,50791;
0,104474;2,5064;2,50791;2,50791;
0,104484;2,50641;2,50791;2,50791;
0,104494;2,50631;2,50791;2,50791;
0,104504;2,50612;2,50791;2,50791;
0,104514;2,50626;2,50791;2,50791;
0,104524;2,50623;2,50791;2,50791;
0,104534;2,50627;2,50791;2,50791;
0,104544;2,50617;2,50791;2,50791;
0,104554;2,50636;2,50791;2,50791;
0,104564;2,50633;2,50791;2,50791;
0,104574;2,50626;2,50791;2,50791;
0,104584;2,50612;2,50791;2,50791;
0,104594;2,5064;2,50791;2,50791;
0,104604;2,50644;2,50791;2,50791;
0,104614;2,50634;2,50791;2,50791;
0,104624;2,50613;2,50791;2,50791;
0,104634;2,50627;2,50791;2,50791;
0,104644;2,50623;2,50791;2,50791;
0,104654;2,50627;2,50791;2,50791;
0,104664;2,50617;2,50791;2,50791;
0,104674;2,50636;2,50791;2,50791;
0,104684;2,50634;2,50791;2,50791;
0,104694;2,50627;2,50791;2,50791;
0,104704;2,50612;2,50791;2,50791;
0,104714;2,50634;2,50791;2,50791;
0,104724;2,50634;2,50791;2,50791;
0,104734;2,50627;2,50791;2,50791;
0,104744;2,50612;2,50791;2,50791;
0,104754;2,50633;2,50791;2,50791;
0,104764;2,50633;2,50791;2,50791;
0,104774;2,50627;2,50791;2,50791;
0,104784;2,50612;2,50791;2,50791;
0,104794;2,50655;2,50791;2,50791;
0,104804;2,50673;2,50791;2,50791;
0,104814;2,50667;2,50791;2,50791;
0,104824;2,50639;2,50791;2,50791;
0,104834;2,50631;2,50791;2,50791;
0,104844;2,50613;2,50791;2,50791;
0,104854;2,50627;2,50791;2,50791;
0,104864;2,50623;2,50791;2,50791;
0,104874;2,50627;2,50791;2,50791;
0,104884;2,50617;2,50791;2,50791;
0,104894;2,50635;2,50791;2,50791;
0,104904;2,50633;2,50791;2,50791;
0,104914;2,50626;2,50791;2,50791;
0,104924;2,50612;2,50791;2,50791;
0,104934;2,50647;2,50791;2,50791;
0,104944;2,50657;2,5079;2,5079;
0,104954;2,50647;2,5079;2,5079;
0,104964;2,5062;2,5079;2,5079;
0,104974;2,50626;2,5079;2,5079;
0,104984;2,50617;2,5079;2,5079;
0,104994;2,50634;2,5079;2,5079;
0,105004;2,5063;2,5079;2,5079;
0,105014;2,50626;2,5079;2,5079;
0,105024;2,50613;2,5079;2,5079;
0,105034;2,50646;2,5079;2,5079;
0,105044;2,50656;2,5079;2,5079;
0,105054;2,50645;2,5079;2,5079;
0,105064;2,50619;2,5079;2,5079;
0,105074;2,50627;2,5079;2,5079;
